sample	stage	sequencing_round	parents	f1	cross_type	species	location	m_unique	p_unique
CAE1	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CAE2	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CAE3	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CAE4	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CAE5	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CAT1	48hpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CAT2	48hpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CAT3	48hpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a
CPAE1	8_10dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a
CPAE2	8_10dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a
CPAE3	8_10dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a
CPAJ1	17_20dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a
CPAJ2	17_20dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a
CPAJ3	17_20dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a
CQE1	8dpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a
CQE2	8dpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a
CQE3	8dpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a
CQT1	48hpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a
CQT2	48hpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a
LLAE1	8_10dpf	1	little_lake_generalist	LILA	p	a	ss	a	a
LLAE2	8_10dpf	1	little_lake_generalist	LILA	p	a	ss	a	a
LLAE3	8_10dpf	1	little_lake_generalist	LILA	p	a	ss	a	a
LLAJ1	17_20dpf	1	little_lake_generalist	LILA	p	a	ss	a	a
LLAJ2	17_20dpf	1	little_lake_generalist	LILA	p	a	ss	a	a
LLAJ3	17_20dpf	1	little_lake_generalist	LILA	p	a	ss	a	a
NCE1	8dpf	2	north_carolina	NCA	p	a	nc	a	a
NCE2	8dpf	2	north_carolina	NCA	p	a	nc	a	a
NCE3	8dpf	2	north_carolina	NCA	p	a	nc	a	a
NCE4	8dpf	2	north_carolina	NCA	p	a	nc	a	a
NCE5	8dpf	2	north_carolina	NCA	p	a	nc	a	a
NCT1	48hpf	2	north_carolina	NCA	p	a	nc	a	a
NCT2	48hpf	2	north_carolina	NCA	p	a	nc	a	a
NCT3	48hpf	2	north_carolina	NCA	p	a	nc	a	a
OAE1	8dpf	2	osprey_generalist	OSPA	p	a	ss	a	a
OAE2	8dpf	2	osprey_generalist	OSPA	p	a	ss	a	a
OAE3	8dpf	2	osprey_generalist	OSPA	p	a	ss	a	a
OAE4	8dpf	2	osprey_generalist	OSPA	p	a	ss	a	a
OAE5	8dpf	2	osprey_generalist	OSPA	p	a	ss	a	a
OAT1	48hpf	2	osprey_generalist	OSPA	p	a	ss	a	a
OAT2	48hpf	2	osprey_generalist	OSPA	p	a	ss	a	a
OAT3	48hpf	3	osprey_generalist	OSPA	p	a	ss	a	a
ORE1	8dpf	2	oyster_generalist	OYSA	p	a	ss	a	a
ORE2	8dpf	2	oyster_generalist	OYSA	p	a	ss	a	a
ORE3	8dpf	2	oyster_generalist	OYSA	p	a	ss	a	a
ORE4	8dpf	2	oyster_generalist	OYSA	p	a	ss	a	a
ORE5	8dpf	2	oyster_generalist	OYSA	p	a	ss	a	a
ORT1	48hpf	2	oyster_generalist	OYSA	p	a	ss	a	a
ORT2	48hpf	2	oyster_generalist	OYSA	p	a	ss	a	a
ORT3	48hpf	2	oyster_generalist	OYSA	p	a	ss	a	a
CPU1	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h
CPU3	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h
CPU5	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h
CUT1	48hpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h
CUT2	48hpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h
CUT3	48hpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h
CVE1	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h
CVE2	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h
CVE5	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h
CVT1	48hpf	2	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h
CVT2	48hpf	2	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h
CVT3	48hpf	2	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h
CWE2	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h
CWE3	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h
CWE4	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h
CWT1	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h
CWT2	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h
CWT3	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h
CXE2	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h
CXE3	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h
CXE4	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h
CXT1	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h
CXT2	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h
CXT3	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h
LFE2	8dpf	3	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h
LFE3	8dpf	3	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h
LFE4	8dpf	3	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h
LFT1	48hpf	2	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h
LFT2	48hpf	2	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h
LFT3	48hpf	2	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h
LGE3	8dpf	3	crescent_pond_snail_eater_female_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h
LGE4	8dpf	3	crescent_pond_snail_eater_female_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h
LGE5	8dpf	3	crescent_pond_snail_eater_female_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h
LGT1	48hpf	3	crescent_pond_snail_eater_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h
LGT2	48hpf	3	crescent_pond_snail_eater_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h
LGT3	48hpf	3	crescent_pond_snail_eater_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h
LIE2	8dpf	3	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h
LIE3	8dpf	3	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h
LIE5	8dpf	3	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h
LIT1	48hpf	2	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h
LIT2	48hpf	2	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h
LIT3	48hpf	2	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h
LKE1	8dpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater_male	OPxCP	h	h	ss	h	h
LKE2	8dpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater_male	OPxCP	h	h	ss	h	h
LKE3	8dpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater_male	OPxCP	h	h	ss	h	h
LKT1	48hpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater	OPxCP	h	h	ss	h	h
LKT2	48hpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater	OPxCP	h	h	ss	h	h
LKT3	48hpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater	OPxCP	h	h	ss	h	h
NAE1	8dpf	3	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h
NAE2	8dpf	3	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h
NAE4	8dpf	3	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h
NAT1	48hpf	2	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h
NAT2	48hpf	2	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h
NAT3	48hpf	2	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h
OUE1	8dpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h
OUE3	8dpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h
OUE4	8dpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h
OUT1	48hpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h
OUT2	48hpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h
OUT3	48hpf	3	osprey_generalist_female_x_osprey_snail_eater_male	OAxOM	h	h	ss	h	h
OVE1	8dpf	3	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h
OVE4	8dpf	3	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h
OVE5	8dpf	3	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h
OVT1	48hpf	2	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h
OVT2	48hpf	2	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h
OVT3	48hpf	2	osprey_generalist_female_x_osprey_scale_eater_male	OAxOP	h	h	ss	h	h
OXE2	8dpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h
OXT1	48hpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h
OXT2	48hpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h
OXT3	48hpf	3	osprey_snail_eater_female_x_osprey_generalist_male	OMxOA	h	h	ss	h	h
OYE1	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OYE2	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OYE3	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OYE4	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OYE5	8dpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OYT1	48hpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OYT2	48hpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OYT3	48hpf	2	osprey_scale_eater_female_x_osprey_generalist_male	OPxOA	h	h	ss	h	h
OZE2	8dpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h
OZE4	8dpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h
OZE5	8dpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h
OZT1	48hpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h
OZT2	48hpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h
OZT3	48hpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h
PAE1	8dpf	3	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h
PAE2	8dpf	3	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h
PAE5	8dpf	3	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h
PAT1	48hpf	2	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h
PAT2	48hpf	2	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h
PAT3	48hpf	2	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h
CME1	8dpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CME2	8dpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CME5	8dpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CMT1	48hpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CMT2	48hpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CMT3	48hpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CPME1	8_10dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CPME2	8_10dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CPME3	8_10dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CPMJ1	17_20dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CPMJ2	17_20dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
CPMJ3	17_20dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a
LLME1	8_10dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a
LLME2	8_10dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a
LLME3	8_10dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a
LLMJ1	17_20dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a
LLMJ2	17_20dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a
LLMJ3	17_20dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a
OME1	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
OME2	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
OME3	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
OME4	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
OME5	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
OMT1	48hpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
OMT2	48hpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
OMT3	48hpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a
CPE1	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPE2	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPE3	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPE4	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPE5	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPPE1	8_10dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPPE2	8_10dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPPE3	8_10dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPPJ1	17_20dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPPJ2	17_20dpf	1	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPT1	48hpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPT2	48hpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
CPT3	48hpf	3	crescent_pond_scale_eater	CRPP	p	p	ss	a	b
LPE1	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b
LPE2	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b
LPE3	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b
LPE4	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b
LPE5	8dpf	2	little_lake_scale_eater	LILP	p	p	ss	a	b
OPE1	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
OPE2	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
OPE3	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
OPE4	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
OPE5	8dpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
OPT1	48hpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
OPT2	48hpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
OPT3	48hpf	2	osprey_scale_eater	OSPP	p	p	ss	a	b
