geneIndex	Geneid	seqnames	H	P	P_H_ratio	fishers_exact_p	H_sign	P_sign	sig_trans	baseMean_mp	LFC_mp	padj_mp	baseMean_mph	LFC_mph	padj_mph	baseMean_mh	LFC_mh	padj_mh	baseMean_ph	LFC_ph	padj_ph	pASE_CWE2	pASE_CWE3	pASE_CWE4	pASE_OZE2	pASE_OZE4	pASE_OZE5	ase_in_all_hyb	ase_in_crp_hyb	ase_in_osp_hyb	ase_in_any_hyb
A2m;HiC_scaffold_34	A2m	HiC_scaffold_34	0.53448275862069	1.66666943557428	3.1182847504293	7.11833849978711e-51	negative	positive	yes	5717.53918009841	0.669921151558814	3.90603292664162e-11	5191.85207917311	0.395813260040741	0.177541625048965	4529.99424670461	-0.0077214382139637	0.990896161768476	5111.19906274349	0.65448787163719	0.0037034839029297	0	0	0	0	0	0	yes	yes	yes	yes
A3GALT2;HiC_scaffold_34	A3GALT2	HiC_scaffold_34	1.88888888888889	1.29931977869881	0.687875176958195	0.439623444364376	positive	positive	no	44.4099522500265	0.767343642922106	0.000384514057590655	41.2757840828423	0.236808379502417	NA	36.2208441826816	-0.215739649246803	0.72289368754464	41.5060944121508	0.540374868494861	0.100090724134407	0.89296	0.92919	0.44441	0.06655	0.09845	0.88861	no	no	no	yes
aad-a;HiC_scaffold_40	aad-a	HiC_scaffold_40	1.33333333333333	1.23432900956992	0.925746757177442	0.771423567019384	positive	positive	no	253.768983658623	0.316746608841049	0.0302843672908564	237.321578488246	0.193745038974602	0.470433180465786	233.036396106365	0.015115506714085	0.984629525264833	222.315474244376	0.326679140707695	0.181473800912801	0	0	0	0.69079	0.00249	0.43066	no	yes	no	yes
AAMP;HiC_scaffold_56	AAMP	HiC_scaffold_56	1.2803738317757	1.01849377698825	0.795465942611261	0.393835336089882	positive	positive	no	197.165294190756	-0.197526550696573	0.283718287327591	216.229377614695	-0.621511088932936	0.0198704096781135	263.216242750746	-0.512113111158671	0.316499858022612	198.966411194176	-0.715281321960272	0.0139390550300041	NA	NA	NA	0.29561	0.00075	0.08716	no	NA	no	yes
aarsd1;HiC_scaffold_8	aarsd1	HiC_scaffold_8	0.606666666666667	0.875348388348722	1.44288195881657	0.251714704233229	negative	negative	no	70.062526513117	-0.126944574477458	0.569262698183221	72.7913469378676	-0.366924086360724	0.206820694167703	85.0880960055945	-0.294976514153639	0.629738872244428	65.9217529762424	-0.433495517638164	0.19914163839549	NA	NA	NA	0.05477	0.05782	0.87297	no	NA	no	yes
aasdh;HiC_scaffold_16	aasdh	HiC_scaffold_16	1.24	1.10185287494774	0.888591028183661	0.715600908331536	positive	positive	no	127.680873508292	0.17214445068591	0.183098769324475	124.078051364133	-0.0297721436231017	0.897476561818744	130.284012253124	-0.118637625723467	0.735540056602336	114.997240522116	0.0463657520509743	0.842074400424787	NA	NA	NA	0.47767	0.04213	0.0071	no	NA	no	yes
aasdhppt;HiC_scaffold_21	aasdhppt	HiC_scaffold_21	2	0.748080376897718	0.374040188448859	0.0484944576301636	positive	negative	yes	56.8929053862031	-0.257987473564241	0.256907539240065	55.9821460400774	-0.0939133386571139	NA	65.0945892843201	0.0457318781586008	0.946957248881043	48.0427490849933	-0.224033102687956	0.515286432927106	0.55412	0	0.27142	0.10254	0.00019	0.00294	no	no	no	yes
ABAT;HiC_scaffold_27	ABAT	HiC_scaffold_27	1.26243093922652	1.37105111788561	1.0860404916293	0.443273595938119	positive	positive	no	711.221776891306	-0.00462549746856083	0.990116769487427	736.195856085439	-0.364097846074725	0.14901971746869	837.202309187966	-0.355224686904037	0.349513533251722	680.974016643312	-0.368712316994561	0.162859693361715	1	0.02603	0.173	0.00491	0.4429	2e-04	no	no	no	yes
ABCA1;HiC_scaffold_1	ABCA1	HiC_scaffold_1	1.26666666666667	1.54723968667368	1.22150501579501	0.495521552811885	positive	positive	no	1273.49539035928	0.485810178708732	0.0622098245896006	1322.57376888947	-0.379520767489168	0.330897724851016	1366.8472345601	-0.661580461536815	0.155991480404259	1325.78550651269	-0.185882324858779	0.699549526814574	0.78382	0	0.13976	0.65633	0.52142	0.02227	no	no	no	yes
ABCA1;HiC_scaffold_44	ABCA1	HiC_scaffold_44	1.16703539823009	1.54723968667368	1.32578642346256	0.00156937536657795	positive	positive	yes	1273.49539035928	0.485810178708732	0.0622098245896006	1322.57376888947	-0.379520767489168	0.330897724851016	1366.8472345601	-0.661580461536815	0.155991480404259	1325.78550651269	-0.185882324858779	0.699549526814574	0.78382	0	0.13976	0.65633	0.52142	0.02227	no	no	no	yes
