sample	stage	sequencing_round	parents	f1	cross_type	species	location	m_unique	p_unique	mean_caudal_lightness	mean_jaw_length	mean_nose_length	mean_nose_height	lake
CAE1	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CAE2	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CAE3	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CAE4	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CAE5	8dpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CAT1	48hpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CAT2	48hpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CAT3	48hpf	2	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CPAE1	8_10dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CPAE2	8_10dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CPAE3	8_10dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CPAJ1	17_20dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CPAJ2	17_20dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CPAJ3	17_20dpf	1	crescent_pond_generalist	CRPA	p	a	ss	a	a	118.667	-0.08590883	-0.219191755	-1.137710613	Crescent Pond
CQE1	8dpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a	NA	NA	NA	NA	New Providence
CQE2	8dpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a	NA	NA	NA	NA	New Providence
CQE3	8dpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a	NA	NA	NA	NA	New Providence
CQT1	48hpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a	NA	NA	NA	NA	New Providence
CQT2	48hpf	3	cunningham_p_type_female_x_cunningham_generalist_male	UPxUA	p	a	cun	a	a	NA	NA	NA	NA	New Providence
LLAE1	8_10dpf	1	little_lake_generalist	LILA	p	a	ss	a	a	126.9	-0.120610718	-0.06071882	0.653312835	Little Lake
LLAE2	8_10dpf	1	little_lake_generalist	LILA	p	a	ss	a	a	126.9	-0.120610718	-0.06071882	0.653312835	Little Lake
LLAE3	8_10dpf	1	little_lake_generalist	LILA	p	a	ss	a	a	126.9	-0.120610718	-0.06071882	0.653312835	Little Lake
LLAJ1	17_20dpf	1	little_lake_generalist	LILA	p	a	ss	a	a	126.9	-0.120610718	-0.06071882	0.653312835	Little Lake
LLAJ2	17_20dpf	1	little_lake_generalist	LILA	p	a	ss	a	a	126.9	-0.120610718	-0.06071882	0.653312835	Little Lake
LLAJ3	17_20dpf	1	little_lake_generalist	LILA	p	a	ss	a	a	126.9	-0.120610718	-0.06071882	0.653312835	Little Lake
NCE1	8dpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
NCE2	8dpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
NCE3	8dpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
NCE4	8dpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
NCE5	8dpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
NCT1	48hpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
NCT2	48hpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
NCT3	48hpf	2	north_carolina	NCA	p	a	nc	a	a	NA	NA	NA	NA	North Carolina
OAE1	8dpf	2	osprey_generalist	OSPA	p	a	ss	a	a	135.542	-0.044467389	-0.16742544	-1.861339022	Osprey Lake
