CHROM	size
HiC_scaffold_1	49059223
HiC_scaffold_2	1075516
HiC_scaffold_3	6751666
HiC_scaffold_4	31529498
HiC_scaffold_5	46412737
HiC_scaffold_6	5013978
HiC_scaffold_7	34220296
HiC_scaffold_8	33979299
HiC_scaffold_9	40457552
HiC_scaffold_10	1047748
HiC_scaffold_11	29086160
HiC_scaffold_12	16789
HiC_scaffold_13	27426
HiC_scaffold_14	27468529
HiC_scaffold_15	2502247
HiC_scaffold_16	43428328
HiC_scaffold_17	75543
HiC_scaffold_18	30093578
HiC_scaffold_19	8343768
HiC_scaffold_20	15895470
HiC_scaffold_21	42353776
HiC_scaffold_22	10193935
HiC_scaffold_23	3295910
HiC_scaffold_24	26732574
HiC_scaffold_25	1648522
HiC_scaffold_26	19562546
HiC_scaffold_27	38278116
HiC_scaffold_28	577448
HiC_scaffold_29	13376827
HiC_scaffold_30	5423966
HiC_scaffold_31	9283544
HiC_scaffold_32	141316
HiC_scaffold_33	18417348
HiC_scaffold_34	43803548
HiC_scaffold_35	3417135
HiC_scaffold_36	223560
HiC_scaffold_37	32013756
HiC_scaffold_38	2493535
HiC_scaffold_39	9300650
HiC_scaffold_40	10791118
HiC_scaffold_41	5880280
HiC_scaffold_42	5778037
HiC_scaffold_43	35539375
HiC_scaffold_44	37982081
HiC_scaffold_45	2803990
HiC_scaffold_46	35573376
HiC_scaffold_47	34351845
HiC_scaffold_48	70364
HiC_scaffold_49	313140
HiC_scaffold_50	3568570
HiC_scaffold_51	1150107
HiC_scaffold_52	31585738
HiC_scaffold_53	39921181
HiC_scaffold_54	4218252
HiC_scaffold_55	8642596
HiC_scaffold_56	22722193
HiC_scaffold_57	7764001
HiC_scaffold_58	6538183
HiC_scaffold_59	18666
HiC_scaffold_60	2903421
HiC_scaffold_61	153884
HiC_scaffold_62	42432
HiC_scaffold_63	945690
HiC_scaffold_64	292871
HiC_scaffold_65	95586
HiC_scaffold_66	34476
HiC_scaffold_67	52228
HiC_scaffold_68	728470
HiC_scaffold_69	31250
HiC_scaffold_70	900473
HiC_scaffold_71	130064
HiC_scaffold_72	275556
HiC_scaffold_73	348529
HiC_scaffold_74	110251
HiC_scaffold_75	87027
HiC_scaffold_76	248905
HiC_scaffold_77	94261
HiC_scaffold_78	30470
HiC_scaffold_79	152954
HiC_scaffold_80	89301
HiC_scaffold_81	371862
HiC_scaffold_82	22039
HiC_scaffold_83	117550
HiC_scaffold_84	135745
HiC_scaffold_85	96046
HiC_scaffold_86	55997
HiC_scaffold_87	243039
HiC_scaffold_88	36967
HiC_scaffold_89	133401
HiC_scaffold_90	645140
HiC_scaffold_91	35001
HiC_scaffold_92	57323
HiC_scaffold_93	143775
HiC_scaffold_94	36037
HiC_scaffold_95	53809
HiC_scaffold_96	27472
HiC_scaffold_98	25596
HiC_scaffold_99	19802
HiC_scaffold_100	47738
HiC_scaffold_102	54656
HiC_scaffold_107	15678
HiC_scaffold_109	20460
HiC_scaffold_111	17180
HiC_scaffold_113	17879
HiC_scaffold_115	24224
HiC_scaffold_120	15037
HiC_scaffold_121	16534
HiC_scaffold_122	53163
HiC_scaffold_123	151523
HiC_scaffold_124	523207
HiC_scaffold_125	43120
HiC_scaffold_126	18411
HiC_scaffold_127	45804
