geneIndex	Geneid	seqnames	H	P	P_H_ratio	fishers_exact_p	H_sign	P_sign	sig_trans	baseMean_mp	LFC_mp	padj_mp	baseMean_mph	LFC_mph	padj_mph	baseMean_mh	LFC_mh	padj_mh	baseMean_ph	LFC_ph	padj_ph	pASE_CWE2	pASE_CWE3	pASE_CWE4	pASE_OZE2	pASE_OZE4	pASE_OZE5	ase_in_all_hyb	ase_in_crp_hyb	ase_in_osp_hyb	ase_in_any_hyb
A1CF;HiC_scaffold_8	A1CF	HiC_scaffold_8	0.952380952380952	1.63731640286514	1.71918222300839	0.0145973429665351	negative	positive	yes	324.916433733959	0.00929649867535084	0.984718517489813	321.936834595502	-0.142424413488571	0.801396995288111	354.753055678648	-0.145529233960913	0.904178322327457	292.626690235695	-0.13941805116506	0.818382704521134	0.01287	0.92049	0.00113	NA	NA	NA	no	no	NA	yes
A2m;HiC_scaffold_34	A2m	HiC_scaffold_34	0.337402076881035	0.644216898803633	1.90934479348442	2.34262805571359e-39	negative	negative	yes	5717.53918009841	0.669921151558814	3.90603292664162e-11	5191.85207917311	0.395813260040741	0.177541625048965	4529.99424670461	-0.0077214382139637	0.990896161768476	5111.19906274349	0.65448787163719	0.0037034839029297	0	0	0	0	0	0	yes	yes	yes	yes
A3GALT2;HiC_scaffold_34	A3GALT2	HiC_scaffold_34	0.928571428571429	0.432087017272534	0.465324480139651	0.106467383442283	negative	negative	no	44.4099522500265	0.767343642922106	0.000384514057590655	41.2757840828423	0.236808379502417	NA	36.2208441826816	-0.215739649246803	0.72289368754464	41.5060944121508	0.540374868494861	0.100090724134407	0.89296	0.92919	0.44441	0.06655	0.09845	0.88861	no	no	no	yes
AAAS;HiC_scaffold_18	AAAS	HiC_scaffold_18	0.953237410071942	1.45297252194694	1.52425041925	0.0326107097768988	negative	positive	yes	134.672401862535	0.0798907188950854	0.78532792795412	140.609828462626	-0.403689958931334	0.126296276316978	157.941828977423	-0.443412640414707	0.293695298577693	132.669569961054	-0.369336461010105	0.224849927710985	0.79636	0.65299	0.28844	0.66362	1	0	no	no	no	yes
AADAT;HiC_scaffold_24	AADAT	HiC_scaffold_24	0.416184971098266	0.798457912831234	1.91851692944172	0.0184412478131923	negative	negative	yes	126.387355931897	0.102010461478164	0.702158982103067	120.393589790958	0.0800335640064639	0.863432986867763	126.339244348956	0.0288907846549213	0.980621461287439	109.197836045024	0.123441573227958	0.804986960648675	0.32298	0	0.00059	0.48323	0.40539	0.75199	no	no	no	yes
AAGAB;HiC_scaffold_547	AAGAB	HiC_scaffold_547	0.827338129496403	0.936764618585496	1.13226332159464	0.694253671280526	negative	negative	no	100.870802748626	0.00460394189646871	0.986087191456996	101.893705778226	-0.236267728169048	0.316809852422981	113.766687379271	-0.236174573573023	0.637320757241667	93.4120441629109	-0.236561281837403	0.377090174319325	0.08899	0	0	NA	NA	NA	no	no	NA	yes
aamdc;HiC_scaffold_21	aamdc	HiC_scaffold_21	0.7	0.447649665767756	0.639499522525366	0.0878279068657117	negative	negative	no	122.684447396712	0.400289469378301	0.148160349686971	108.136885060632	0.619097356313326	0.0747467491096262	98.4708497389982	0.395372425996815	0.579173791920313	100.015677352286	0.782655775577013	0.00251628574161694	0.60276	0.04948	0.00212	NA	NA	NA	no	no	NA	yes
aasdhppt;HiC_scaffold_21	aasdhppt	HiC_scaffold_21	0.452554744525548	1.12311684683227	2.48172593574226	0.00576838752681369	negative	positive	yes	56.8929053862031	-0.257987473564241	0.256907539240065	55.9821460400774	-0.0939133386571139	NA	65.0945892843201	0.0457318781586008	0.946957248881043	48.0427490849933	-0.224033102687956	0.515286432927106	0.55412	0	0.27142	0.10254	0.00019	0.00294	no	no	no	yes
ABAT;HiC_scaffold_27	ABAT	HiC_scaffold_27	1.25405405405405	1.504064532295	1.19936180376972	0.319466658752383	positive	positive	no	711.221776891306	-0.00462549746856083	0.990116769487427	736.195856085439	-0.364097846074725	0.14901971746869	837.202309187966	-0.355224686904037	0.349513533251722	680.974016643312	-0.368712316994561	0.162859693361715	1	0.02603	0.173	0.00491	0.4429	2e-04	no	no	no	yes
ABCA1;HiC_scaffold_44	ABCA1	HiC_scaffold_44	0.709509658246657	0.792137478462535	1.11645763980165	0.19010613908605	negative	negative	no	1273.49539035928	0.485810178708732	0.0622098245896006	1322.57376888947	-0.379520767489168	0.330897724851016	1366.8472345601	-0.661580461536815	0.155991480404259	1325.78550651269	-0.185882324858779	0.699549526814574	0.78382	0	0.13976	0.65633	0.52142	0.02227	no	no	no	yes
ABCA1;HiC_scaffold_1	ABCA1	HiC_scaffold_1	1.05263157894737	0.792137478462535	0.752530604539409	0.24641892291165	positive	negative	no	1273.49539035928	0.485810178708732	0.0622098245896006	1322.57376888947	-0.379520767489168	0.330897724851016	1366.8472345601	-0.661580461536815	0.155991480404259	1325.78550651269	-0.185882324858779	0.699549526814574	0.78382	0	0.13976	0.65633	0.52142	0.02227	no	no	no	yes
ABCA12;HiC_scaffold_52	ABCA12	HiC_scaffold_52	0.66260162601626	1.20674402314141	1.82122104106004	0.00183422351839656	negative	positive	yes	455.22954643781	-0.0143873355482477	0.97530764875509	437.066348167665	0.0356732200625817	0.95436586739623	473.969315691207	0.049372570677564	0.964792601546557	388.914979165412	0.0274204124354701	0.966971121172322	0.00817	0	0.03309	0	0.03343	0	yes	yes	yes	yes
Abca5;HiC_scaffold_8	Abca5	HiC_scaffold_8	0.75	1.00840598543777	1.34454131391703	0.634972374519064	negative	positive	no	63.096900593487	-0.0628748078790469	0.818390586762689	63.2664099094149	-0.200634833881485	0.376584972148342	71.4751544786291	-0.16332029995577	0.667839907358441	56.9399034922795	-0.232822488953909	0.352902109591114	0.80417	1	0.05331	NA	NA	NA	no	no	NA	yes
ABCC4;HiC_scaffold_56	ABCC4	HiC_scaffold_56	1.124773960217	2.01355208887855	1.79018377033736	1.02362661388892e-05	positive	positive	yes	297.1094871208	-0.697778401137011	7.8934338198613e-05	311.055404156991	-0.416355027328937	0.381386076995421	404.087574409596	-0.0660190063403476	0.957639495038874	254.731612506685	-0.771216669542531	0.0752523849531621	0.00054	0	0.00512	0.42513	0.00014	0.00046	no	yes	no	yes
abcd1;HiC_scaffold_11679	abcd1	HiC_scaffold_11679	1.02380952380952	1.18330290028319	1.15578422818358	0.68052181096924	positive	positive	no	388.687987955425	-0.117237954743571	0.601789802609079	375.562072313037	-0.00297372417795139	0.994546115482924	417.88095509051	0.0668047460025823	0.925305753691598	328.908769275415	-0.0585378578794021	0.880047069468912	0.70064	0.76123	1	0	0	0.65125	no	no	no	yes
Abcd4;HiC_scaffold_7	Abcd4	HiC_scaffold_7	0.962616822429907	1.32915571216547	1.38077340972529	0.284664245423007	negative	positive	no	58.146897631296	-0.729401910563904	0.000164940985901871	60.6694651740045	-0.385124942701796	NA	79.3699336018779	-0.027764399908206	0.965464395011814	49.0825536077987	-0.765779391987105	0.00110903957721144	0.0734	0.15791	0.53148	0.00062	0.00231	0.00199	no	no	yes	yes
Abce1;HiC_scaffold_41	Abce1	HiC_scaffold_41	0.700267022696929	1.37575388967275	1.96461327619617	3.6438557728474e-14	negative	positive	yes	693.993084533679	-0.17011305427602	0.226239306856468	770.158895665133	-0.673055543866604	0.0164231369365172	939.237428233891	-0.574921558297505	0.289200736562572	715.200850927172	-0.75404671775391	0.0198325181457343	0	0.54246	0.82249	0.14254	0.1954	0	no	no	no	yes
ABHD10;HiC_scaffold_11	ABHD10	HiC_scaffold_11	1.08571428571429	1.07682221705488	0.991809936761075	1	positive	positive	no	151.332754749567	0.0498674265436129	0.816650275810515	148.503820881227	-0.0847828795878965	0.760522381635153	160.989964843275	-0.108776400954413	0.835644866333786	135.447681426181	-0.064325320830108	0.850330195472255	0.68739	0.09612	0.51493	NA	NA	NA	no	no	NA	yes
abhd11;HiC_scaffold_29	abhd11	HiC_scaffold_29	0.415730337078652	0.769352375572537	1.85060436286367	0.0838971107600914	negative	negative	no	102.107878382065	0.152231600232304	0.494556585830994	97.0318456678909	0.0881783175301439	0.781411898013733	100.514248815131	0.0115947458426655	0.988516212362786	88.704376162385	0.15425761391383	0.614951692092169	0.12867	0	0.00092	NA	NA	NA	no	no	NA	yes
abhd14a;HiC_scaffold_34	abhd14a	HiC_scaffold_34	1.94666666666667	0.734490968222091	0.377307004223677	0.00101711429533656	positive	negative	yes	75.0527508714034	0.123590007369341	0.594647112383435	70.2413740472736	0.193562282654335	0.469952691334533	72.5551246131934	0.133317423505738	0.795585594830631	63.2681417370766	0.246196180873365	0.396547179617097	0.00867	3e-05	0.14443	NA	NA	NA	no	no	NA	yes
abhd2a;HiC_scaffold_5	abhd2a	HiC_scaffold_5	0.976415094339623	1.22595564450292	1.25556809968415	0.21302898916408	negative	positive	no	658.323671823195	-0.26973689870763	0.0941410273717382	589.516187555281	0.496829121567901	0.131989377491048	645.30690422267	0.645025237540052	0.289645497684124	477.218023246255	0.369715883885478	0.355405488468863	0.85365	0.20262	0.00507	0.00014	0.49498	0.00393	no	no	no	yes
Abi1;HiC_scaffold_8	Abi1	HiC_scaffold_8	0.276595744680851	0.956143056627199	3.45682489703679	5.65862318575062e-05	negative	negative	yes	271.760746724528	0.00656630482957986	0.978580701659088	250.527144863568	0.290141649095716	0.201166080471587	262.645854002207	0.293933480865217	0.467190752098577	218.953565653961	0.290555263816764	0.311833712167462	0	0	3e-05	2e-05	0	0	yes	yes	yes	yes
ABL2;HiC_scaffold_16	ABL2	HiC_scaffold_16	0.817460317460318	0.720529723038585	0.881424709736522	0.700601808102201	negative	negative	no	193.506499369056	0.150846368913079	0.395170107240989	182.32035664883	0.149556134156182	0.524538521626049	187.81405059342	0.0731703547148749	0.900093801729816	165.845860577644	0.213782548594365	0.330936205583531	0.89103	0.7528	0.05145	NA	NA	NA	no	no	NA	yes
Abr;HiC_scaffold_14	Abr	HiC_scaffold_14	0.983870967741935	0.966591989273473	0.982437759589432	0.906179863418916	negative	negative	no	276.647211735142	0.114503704228456	0.306621509346744	257.288339585313	0.227887713299688	0.10337463070587	264.529400452477	0.172988740887897	0.563576138412518	231.007415642168	0.27764371376694	0.0580774965436899	0.82852	0.27694	0.52937	NA	NA	NA	no	no	NA	yes
Abtb1;HiC_scaffold_18	Abtb1	HiC_scaffold_18	0.909090909090909	1.25399419821936	1.37939361804129	0.482516965020408	negative	positive	no	236.836636459924	-0.353548255326178	0.0100174486629718	235.128426180648	-0.151424064728042	0.711601125373655	279.636122546741	0.0406111879955166	0.968723932523207	199.260317633627	-0.323394572137697	0.413764765605275	1	0.48369	0.60742	0	0.55616	0	no	no	no	yes
Abtb2;HiC_scaffold_19	Abtb2	HiC_scaffold_19	1.3936170212766	1.25846434898576	0.903020219882912	0.733072799378673	positive	positive	no	88.1443878905633	-0.2174447863647	0.221587567946165	94.1841472624308	-0.507243797419421	0.00781174071682757	113.460902791323	-0.390547852592416	0.154964359444965	85.3076181003731	-0.614818123844646	0.00305091365121734	0.02756	0.0071	6e-05	0.28684	0.18185	0.00755	no	yes	no	yes
ACADM;HiC_scaffold_46	ACADM	HiC_scaffold_46	1.5745164960182	1.62641248978343	1.03295995557777	0.735307095675926	positive	positive	no	574.305731726463	-0.523425003368434	2.62272794915824e-05	580.659807025031	-0.245210381355403	0.357381246392678	720.112383765632	0.0259820868508436	0.965464395011814	481.206046608047	-0.505389298634706	0.00513103794370947	0	0	0	1	1	1	no	yes	no	yes
ACADSB;HiC_scaffold_8	ACADSB	HiC_scaffold_8	0.98	1.36272721494577	1.39053797443446	0.244561624067233	negative	positive	no	385.017593173141	-0.280200162029299	0.0423692466192275	376.373656442338	-0.0670817961321424	0.835876038605108	436.875527070705	0.08756856832803	0.893226152105848	320.893802130662	-0.202066843618904	0.482446900989011	0.38958	1	0.6072	0.40248	0.62753	1	no	no	no	yes
ACAP2;HiC_scaffold_21	ACAP2	HiC_scaffold_21	0.920454545454546	0.936787664014751	1.01774462263331	1	negative	negative	no	344.748354611218	0.0659624688905329	0.571676165823097	327.470406400385	0.0998124783782122	0.413570523610312	346.178328964288	0.0703470942173073	0.805927594941165	294.317556355687	0.128646226475071	0.267756585934356	0.00065	0.00345	0.05594	0.94842	0.00214	6e-05	no	no	no	yes
acat1;HiC_scaffold_14	acat1	HiC_scaffold_14	0.949031600407747	1.08167159393708	1.13976351627527	0.171520402912663	negative	positive	no	752.846538923433	0.148162463767706	0.339598128227827	732.027172432902	-0.03910127471296	0.881154025750339	771.974940635073	-0.117541520862823	0.797608751374545	676.477820319723	0.0233345295195908	0.932280684032901	0.39781	0.34625	0.0793	0.24254	0.65726	0.03995	no	no	no	yes
ACAT2;HiC_scaffold_7	ACAT2	HiC_scaffold_7	0.935135135135135	1.20457445947255	1.28812875723944	0.293575448232324	negative	positive	no	87.5512618706677	0.10289303819465	0.741377537663336	94.0509362286124	-0.53002748745549	0.128920789718304	107.213592283968	-0.585270297063553	0.390478101988402	90.0616718623169	-0.486195951646974	0.190412477243467	0.90362	0.66086	0.04908	0.17359	0.69311	0.59552	no	no	no	yes
Acbd3;HiC_scaffold_7	Acbd3	HiC_scaffold_7	1.2962962962963	1.02910064811539	0.793877642831869	0.33904560593944	positive	positive	no	226.20610958607	-0.0426472274233725	0.769888402814047	228.251896722994	-0.233421153400607	0.295688345358796	257.44653396028	-0.203459220850871	0.675443440935462	207.113845512892	-0.257444977077702	0.358832465694987	0.23768	0.41783	0.55592	0.37565	0.99114	0.38367	no	no	no	yes
acbd5a;HiC_scaffold_11	acbd5a	HiC_scaffold_11	1.18421052631579	1.31172055643725	1.10767513654701	0.842434434188804	positive	positive	no	142.477314114211	-0.280446073631788	0.0341034079647504	136.347920363768	0.0577452048967666	0.85677010412482	156.268305193018	0.208748707522233	0.661938316185699	114.841134084476	-0.078746490366737	0.818560498015775	0.20693	1	0.31143	0.77457	0.03536	0.06315	no	no	no	yes
ACER3;HiC_scaffold_14	ACER3	HiC_scaffold_14	0.834710743801653	0.626534540040418	0.750600785592976	0.359037678215467	negative	negative	no	59.9465624060814	0.321483454516477	0.117532956345409	57.3440067305012	0.0472053435548126	NA	57.4535868148024	-0.126183668657489	0.828820006745141	54.2227561690311	0.187074605422491	0.442475758764245	9e-05	0.03761	0.00327	0.00013	0	0.71793	no	yes	no	yes
Acly;HiC_scaffold_27	Acly	HiC_scaffold_27	0.75	0.887247790536066	1.18299705404809	0.778105862251563	negative	negative	no	613.344333196518	0.161034555309572	0.211603309199055	596.827429556726	-0.0410464294921316	0.903544065520382	628.265356565293	-0.125854073049871	0.830337666201558	552.757210638895	0.0258544910354783	0.950189583352936	1	1	0.14639	0.34494	0	0.21513	no	no	no	yes
Acox3;HiC_scaffold_58	Acox3	HiC_scaffold_58	0.925925925925926	1.95541079261093	2.11184365601981	0.000197113177113946	negative	positive	yes	188.534370692314	-0.436495111813561	0.0441442419277889	192.013132597399	-0.281025674690315	0.405832699520385	234.897395839052	-0.0539113661170281	0.944686814367264	162.78372825412	-0.495827732755195	0.0824226553831265	0.04248	0.02818	0.0328	0	0	0	yes	yes	yes	yes
acp2;HiC_scaffold_56	acp2	HiC_scaffold_56	1.18803418803419	1.01097950372114	0.850968359247294	0.554446483867716	positive	positive	no	240.709333955998	-0.200201701620242	0.295537999813853	237.786044233758	-0.12312682365568	0.636811869524029	273.320114388654	-0.00975378925947284	0.989908790019423	207.180304053491	-0.220107528562437	0.317997158478595	0.2598	0.31413	0.11353	0	0.97382	0.02385	no	no	no	yes
Acp5;HiC_scaffold_1	Acp5	HiC_scaffold_1	1.04634146341463	0.455453039220498	0.435281459394882	2.19286892866038e-09	positive	negative	yes	478.024841143734	0.618268616059944	0.0039253308177392	435.299062290454	0.374537895751715	0.249573844579161	386.282250136113	0.00684002459443542	0.991504592037975	425.283595691136	0.616384840504081	0.0166088021813626	0.35196	0.43247	0.26002	0.01525	0.24882	0.24927	no	no	no	yes
ACSL1;HiC_scaffold_44	ACSL1	HiC_scaffold_44	1.23809523809524	2.81202291046778	2.27124927383936	5.45080085383645e-07	positive	positive	yes	1220.81208947413	-0.302628942631845	0.545255157950067	1249.76033127581	-0.310556226118089	0.487614121087563	1496.38484507693	-0.144492648705234	0.841544692007898	1089.15378250751	-0.455931897120381	0.264116184685033	0.59491	0.06878	0.05127	0	0	0	no	no	yes	yes
ACSL1;HiC_scaffold_1	ACSL1	HiC_scaffold_1	0.861774744027304	2.81202291046778	3.26306024858241	6.59883607193642e-25	negative	positive	yes	1220.81208947413	-0.302628942631845	0.545255157950067	1249.76033127581	-0.310556226118089	0.487614121087563	1496.38484507693	-0.144492648705234	0.841544692007898	1089.15378250751	-0.455931897120381	0.264116184685033	0.59491	0.06878	0.05127	0	0	0	no	no	yes	yes
ACSL6;HiC_scaffold_29	ACSL6	HiC_scaffold_29	0.511873350923483	0.706220359658415	1.37967791912649	0.0695189698803961	negative	negative	no	406.328670110854	0.479216305127284	3.48329421915467e-05	393.590935396614	-0.0175536572202941	0.961048637302573	384.164025728109	-0.294596483867101	0.302100746964028	384.492169139977	0.176793418678659	0.346397414249528	0.00022	0	0	0.05053	0.64296	0.15418	no	yes	no	yes
Acss1;HiC_scaffold_7	Acss1	HiC_scaffold_7	1.69512195121951	0.994478630891335	0.586670847000644	0.0489746177359717	positive	negative	yes	148.426962421454	-0.0963165383810443	0.686070806886079	146.509802337096	-0.122811280890142	0.685927002453235	164.6087765498	-0.065372510553144	0.921516179164226	130.254235635708	-0.169156840573561	0.58714618413512	0.459	0.14244	0	0.0483	0.55091	0.0741	no	no	no	yes
ACSS2;HiC_scaffold_46	ACSS2	HiC_scaffold_46	2.75925925925926	1.47732035783701	0.535404693444285	0.0277350220785923	positive	positive	yes	393.747553024038	-0.367897871834471	0.000909962327152808	402.433122923685	-0.29793089156962	0.137936975623451	487.154580724015	-0.102951688938057	0.805623716323797	346.201906187055	-0.47708147513805	0.00304852895818891	0.07508	0	0.00276	0.22952	1e-05	0.70911	no	no	no	yes
acta1;HiC_scaffold_5	acta1	HiC_scaffold_5	0.972976718403548	1.02802800849166	1.05658027478647	0.000191273549105421	negative	positive	yes	322777.41420572	0.210660930328803	0.268565947979808	319174.738131682	-0.129959642169044	0.687693745497613	336559.115397971	-0.244278813787093	0.661154250610291	300288.818747051	-0.042215176155498	0.915160895952037	0.27139	0	0.00569	NA	NA	NA	no	no	NA	yes
actbb;HiC_scaffold_1	actbb	HiC_scaffold_1	1.34246575342466	1.28059085544671	0.953909514771526	0.521678894610843	positive	positive	no	1804.52092667389	-0.00223938346508423	0.991480811344923	1737.93689909955	0.0175620250910059	0.961978063054854	1882.67503780113	0.0240143521215612	0.976874716038476	1553.85821894742	0.0141782177660674	0.971864597706444	0	0.01116	0.07986	0.292	0.00052	0.889	no	no	no	yes
ACTL6A;HiC_scaffold_16	ACTL6A	HiC_scaffold_16	1.08602150537634	0.796534095570159	0.733442286020047	0.240966005227604	positive	negative	no	345.014708785847	0.349007382956743	0.000441527405147542	347.17276316027	-0.221998076045932	0.41543431569026	359.983234627638	-0.418582841914332	0.352427585147774	336.932876750419	-0.0784117909548255	0.825497098960887	0.73025	0.24784	0.83358	NA	NA	NA	no	no	NA	yes
Actn4;HiC_scaffold_37	Actn4	HiC_scaffold_37	1.34645669291339	0.862157099986828	0.640315507007761	0.0312922157693239	positive	negative	yes	1791.21668993863	0.0457067111069689	0.794569457957812	1664.70896524572	0.237504531811074	0.200470304956397	1736.94433378658	0.217923081996029	0.572112925407217	1474.7584845972	0.255646222022985	0.217901021688577	0.16242	1	0.01183	0.15634	0.0747	0.29425	no	no	no	yes
Actr1b;HiC_scaffold_47	Actr1b	HiC_scaffold_47	1.12173913043478	0.835381439954621	0.744719888331639	0.101360272716663	positive	negative	no	415.657925010937	0.143848537630245	0.184530124566378	416.832800070371	-0.202510166578411	0.223159047930826	450.630568761507	-0.276726711778437	0.337396197182676	389.90605472562	-0.142885877516454	0.507245087358687	0.23206	0.68874	0.15564	NA	NA	NA	no	no	NA	yes
actr2a;HiC_scaffold_24	actr2a	HiC_scaffold_24	1.23929471032746	0.696110515243122	0.561698932015283	1.01252204963388e-10	positive	negative	yes	1846.33662513132	0.278480960210005	0.01822380161711	1708.05537397554	0.267760812959337	0.101293288979507	1678.21601921451	0.112682363345304	0.662583005205269	1580.03081369003	0.383323926108933	0.00704735509614004	0	0	0	NA	NA	NA	NA	yes	NA	yes
actr3;HiC_scaffold_56	actr3	HiC_scaffold_56	0.587741393786734	0.700701143272255	1.19219294519608	0.0412286354776346	negative	negative	yes	3387.55450686017	0.259921147473802	0.033656669433675	3187.16914132098	0.158993425839919	0.377978963219879	3191.92170903085	0.0152523171150689	0.97788595551954	2960.31199041437	0.266571202164613	0.0125657770307308	0	0	0	0.05048	0.32692	0.67331	no	yes	no	yes
ACVR1;HiC_scaffold_52	ACVR1	HiC_scaffold_52	0.916666666666667	0.970163008836569	1.05835964600353	0.893512752120146	negative	negative	no	337.690342365235	0.00435264759849422	0.974307305735761	332.407587134158	-0.104365368124412	0.351280557933003	365.565604101683	-0.100031895576387	0.65592344478395	300.39927061427	-0.10550920038812	0.450005797275339	0.20555	0.64721	0.30958	NA	NA	NA	no	no	NA	yes
ACVR2A;HiC_scaffold_56	ACVR2A	HiC_scaffold_56	1.08333333333333	0.918731562541761	0.848059903884703	0.522186770362483	positive	negative	no	337.624065758201	0.092877836447401	0.470129819068637	330.375256242338	-0.0725641184779275	0.647719496059321	354.884387772387	-0.117120019354154	0.651055234355795	302.729329899221	-0.0331996618671467	0.871773919285816	0.89843	0.26995	0	NA	NA	NA	no	no	NA	yes
ACVR2B;HiC_scaffold_37	ACVR2B	HiC_scaffold_37	0.888888888888889	0.715347049167392	0.804765430313316	0.255494101116941	negative	negative	no	320.999515793177	-0.0096246832633311	0.972500646165192	310.451398091496	-0.00685355238477827	0.986254558286843	337.794934133754	0.00508771961034581	0.995407991439391	277.662403832514	-0.0133656873253493	0.975592029999467	0.01226	0	3e-05	0.12694	0.02133	0.08585	no	yes	no	yes
Acy1a;HiC_scaffold_34	Acy1a	HiC_scaffold_34	1.16363636363636	2.07142332609995	1.78012942086715	0.108404934253824	positive	positive	no	151.852079971206	-0.445101885126896	0.0845056428815317	158.851046129011	-0.409662355466531	0.317941685128277	197.415715400425	-0.1790044010984	0.85570942975369	136.474569477327	-0.627668136860434	0.0825834922492719	0.49022	0.95485	0.63533	0.03354	0.04795	0.72611	no	no	no	yes
ada2a;HiC_scaffold_3	ada2a	HiC_scaffold_3	2.42105263157895	1.21132989627178	0.500331913677475	0.178361047828315	positive	positive	no	242.980234123193	-0.302767659642263	0.0511120840613903	239.021603814886	-0.102565146604566	0.819478670872122	279.79872644562	0.0645870386750805	0.948952087309046	203.571296757301	-0.248239396798706	0.572788337523241	0.11281	0.01252	0.97027	NA	NA	NA	no	no	NA	yes
