majorAlleleFrequency	pValueASE	pValueHeterogeneity	geneID
0.546333209703839	0.81071	0.82238	smurf2
0.855726208443288	3e-05	0.00022	Vtcn1
0.669028414924556	0.12936	0.09287	Klhl22
0.831089438668949	1e-05	0	Tesk2
0.808035749351727	0	0.9467	PSMC2
0.898441627880227	0	0.01241	TEF
0.99919241153807	0	0	Slc25a3
0.777874061628582	0	2e-05	Usp4
0.999999985260414	0	0.95484	MYH9
0.800902983692861	0	0	EPHX1
1	0	NA	TMEM30A
0.838445481326044	0.01438	0.02604	Slc6a13
0.825018199532345	0	0.82371	ANKRD27
0.999997023191116	0	0.99659	Znf609
0.991755978200188	0	0.15204	Ntrk3
1	0	NA	ska1
0.778688524590164	0	NA	PPP6R3
0.999988540103041	0	0.70116	Bcar1
0.949801148368527	0	0	CTCF
1	0	NA	DNAJC24
0.642857142857143	0.01154	NA	MYH7
0.549019607843137	0.57391	NA	WASL
0.710500019169893	0	0.00215	POT1
0.663424653501093	0.11686	0.02244	GPR37
0.999999997210466	0	0.99895	FTSJ1
0.999997217405976	0	0.86551	Ptpn9
1	0	NA	IREB2
1	0.03193	NA	AP3B2
1	0	1	Adpgk
1	0	NA	PPIB
0.561383684934879	0.91432	0.88655	Myo9a
1	0	NA	SCAMP2
1	0	NA	PPIP5K1
1	0.03127	NA	abhd2b
0.593268625162117	8e-05	0.01577	Aen
0.572946618285488	0.7872	0.86411	ift57
0.647823339144498	0.29773	0.39471	tmem71
0.623801611174585	0.17353	0.56791	blmp-1
0.54950747683381	0.88229	0.84292	ZNF559
0.523068913933117	0.84645	0.49739	ranbp9
0.563259489416498	0.00195	0.96481	NOL7
0.525152557891797	0	0	EPDR1
0.63203912897583	0.11001	0.00861	Larp4b
0.705308423064142	0.00052	0.08991	DIP2C
0.891699337574058	0	0.00013	SLCO5A1
0.710725285330989	0.04937	0.75114	STARD3NL
0.822403820452413	0	0	Trim16
1	5e-05	NA	TRIM16
0.562046121882214	0.06963	0.33744	wdr37
0.830923136821093	0	0	PLAGL2
0.90924515212134	0	0	myt1
0.538461538461538	0.84523	NA	Ikbkg
0.655360507355194	0.0932	0.32471	TBC1D22B
0.830793691965791	0	0.59271	PLPBP
0.808615474576681	0	5e-05	ccnq
0.790697674418605	1e-04	NA	Crebzf
0.598767716584788	0	0	FLNA
0.557143134869065	0.40713	0.30107	Haus7
0.505526145279164	0.96252	0.72293	Mrpl49
0.625891547991143	0.00018	0.01901	SUV39H1
0.686488606251361	0	0.61892	BRD3
0.999647865307976	0.06224	0.81188	plpp7
0.601905431204864	0.15119	0.49882	CIZ1
0.608695652173913	0.40348	NA	katnb1
0.578293372170773	0.28693	0.94623	F2rl1
0.726421232246707	3e-05	0.00622	PCDH18
0.770384060213548	0.02366	0.00098	PCDH10
0.60145486608619	0	NA	rpl8
1	0	NA	FNIP1
0.646671279014128	0.40527	0.6994	ext1c
0.581205759744032	0.30934	0.3602	CDKN3
0.536904647804807	0.39065	0.75017	UTP4
0.816615626269748	0	0.00511	KIAA1217
0.61107890430539	0.11451	0.02131	ZNF300
1	0	NA	ATP6V1E1
0.850746268656716	0	NA	Slc35d3
0.692307692307692	0.26691	NA	Zbtb5
1	2e-05	NA	ssh
0.786732910411919	0	0.30251	Sgf29
0.786870264122029	0	0.01151	XPNPEP1
0.680153021411756	0	0	srrt-a
0.620689655172414	0.26746	NA	UTP23
0.712770585738214	0.00035	0.09798	SGCA
0.592857142857143	0.03474	NA	PDCL
0.548748803717545	0	0	Rpl28
0.818181818181818	0.00433	NA	bves
0.696969696969697	0.03474	NA	WDR46
0.999999999995024	0	1	insm1a
0.790824055705736	3e-05	0	CHPF2
0.509422874370515	0.92709	0.43935	SERPINA3-2
0.630098741661867	0.00045	1e-05	Trim25
0.9756105497045	0	0.00028	ABCG2
0.589285387896248	0	0	Abce1
0.654742652642082	0.02127	0.00127	FBXW7
0.54198721668279	0.73376	0.8518	ANAPC10
0.924013668161368	3e-04	0.0098	Nlrc3
0.784474782599241	0	3e-05	SH3D19
0.818025680289539	0.10191	0.10417	TRIM2
0.738532910656082	0	0	FGA
0.792036860425533	0	0	FGB
0.686053045389129	2e-05	0.13192	wdr55
0.648714035309025	0	0	Cfi
0.577882073705838	0.56211	0.60094	Mcu
0.557785809291502	0.45834	0.09617	Aimp1
0.876114604208786	0	0.02079	ZNF226
0.999958137843353	0	0.61611	TOPORS
0.999999999757078	0	0.99838	cd276
0.709415837819149	0	0.08907	Cd274
0.951127062332462	0	0.10553	JAML
0.708904109589041	0	NA	PSMB2
0.870795264956693	0	0	pyroxd1
0.8	0.03486	NA	TFE3
0.999369328636513	0	0.00604	CXXC1
0.839888603481295	0	0.6997	loxl2b
0.938361931908171	0	0	Tbl3
0.811844807089593	0	NA	rps2
0.547999397885252	0.69675	0.9477	KMT2E
0.824817365360117	0	5e-05	CUL9
0.999918769873974	0	0.89947	ZNF845
0.888888888888889	0.00027	1	DLK2
0.815747720225148	0.04662	0.25059	LRRC73
1	0	NA	ZNF227
0.737650478242989	0	0	PYGB
0.732984293193717	0	NA	GINS1
0.79481281817842	0.2984	0.20369	Mmrn2
0.909356396720207	0	NA	rps27a
