geneIndex	Geneid	seqnames	H	P	P_H_ratio	fishers_exact_p	H_sign	P_sign	sig_trans	baseMean_mp	LFC_mp	padj_mp	baseMean_mph	LFC_mph	padj_mph	baseMean_mh	LFC_mh	padj_mh	baseMean_ph	LFC_ph	padj_ph	pASE_CWE2	pASE_CWE3	pASE_CWE4	pASE_OZE2	pASE_OZE4	pASE_OZE5	ase_in_all_hyb	ase_in_crp_hyb	ase_in_osp_hyb	ase_in_any_hyb
A1CF;HiC_scaffold_8	A1CF	HiC_scaffold_8	0.948275862068966	0.631515784528174	0.665962100047893	0.284764787660278	negative	negative	no	153.917024097878	0.791514110981133	0.00284140139910026	139.856363827498	0.469692294697189	0.636487009229007	114.010898423347	0.0114406304937454	0.999258750084696	151.322820631881	0.806703078900266	0.0144417553702787	0.29139	1	0.85952	NA	NA	NA	no	no	NA	yes
A2m;HiC_scaffold_34	A2m	HiC_scaffold_34	0.311183144246353	1.99605819433655	6.41441617659192	2.31222722253703e-321	negative	positive	yes	5318.18407551614	-0.159625947778874	0.706733707089351	5509.13967634075	-0.134343698437439	0.934740692688554	5856.50838322414	-0.0596020796947966	0.997714272678529	5379.00888651334	-0.220456491885142	0.669950818276995	0	0	0	0	0	0	yes	yes	yes	yes
AAAS;HiC_scaffold_18	AAAS	HiC_scaffold_18	1.01167883211679	1.20417949953466	1.19027843749097	0.119067960044289	positive	positive	no	593.451092199812	0.118888941189444	0.608812750718619	609.171930334409	-0.103428262250515	0.913372859652688	615.219642226273	-0.168543316079764	0.832458215401412	620.693295359234	-0.0475817601879239	0.912174826261563	0.00521	0.34706	0.47571	0.62112	0	0	no	no	no	yes
aad-a;HiC_scaffold_40	aad-a	HiC_scaffold_40	0.416378316032295	0.867136416231278	2.08256862291556	7.31453817643655e-10	negative	negative	yes	659.364600988364	-0.0157538881259227	0.960930205916715	685.258556112228	-0.15124557836534	0.894409784002833	712.239166888851	-0.145184724699947	0.974674669499687	686.928145274415	-0.163961451109882	0.702635758006934	0	0	0.62105	0	0.07266	0.44935	no	no	no	yes
AADAT;HiC_scaffold_24	AADAT	HiC_scaffold_24	0.331775700934579	0.498469180901115	1.50242823539209	0.16897411547734	negative	negative	no	170.51477318726	1.01788284988594	5.01895396860035e-20	172.159516243952	-0.032472915663215	0.993427873805141	146.512331708023	-0.639146744843393	0.000328543432666707	199.215102740179	0.377179244297412	0.0220055848675972	0.00085	0	1e-05	0.02107	0.03621	0.87531	no	yes	no	yes
AAGAB;HiC_scaffold_547	AAGAB	HiC_scaffold_547	0.745222929936306	1.00456887372373	1.34801122371475	0.246719698873402	negative	positive	no	211.093627506574	-0.0476331917790743	0.766344921146252	205.803710321452	0.11660734871105	0.844564768728247	208.515041067892	0.140612926333137	0.92869787944683	198.545903205998	0.0909799742323877	0.791529017485652	0.02013	7e-05	0.0149	NA	NA	NA	NA	yes	NA	yes
aamdc;HiC_scaffold_21	aamdc	HiC_scaffold_21	1.02702702702703	1.00751045721275	0.980997024128207	1	positive	positive	no	87.9626638374292	0.186894194077412	0.58539463222339	90.4966845152064	-0.11075433954577	0.946679377352215	90.3883871257847	-0.21076455478091	0.92869787944683	93.406372342065	-0.023630033395019	0.971520613855008	0.0273	0.95965	0.97931	NA	NA	NA	no	no	NA	yes
aasdhppt;HiC_scaffold_21	aasdhppt	HiC_scaffold_21	0.718181818181818	0.880169238557814	1.22555210432101	0.475579145052399	negative	negative	no	112.363480562159	-0.179710843007084	0.460362343669377	107.922519343513	0.184107468236201	0.791576110847534	111.120714010662	0.268486395353879	0.741646187463831	100.703583491286	0.0879998578016986	0.828602464541338	0.72883	0.02391	0.46369	0.02789	0.00073	9e-05	no	no	yes	yes
ABAT;HiC_scaffold_27	ABAT	HiC_scaffold_27	2.55339805825243	0.701500965183092	0.27473231716296	2.54080893874908e-11	positive	negative	yes	1147.23319218591	0.386018466037531	0.0129054849878794	1132.06572889096	0.0714470237184818	0.945945565459389	1066.05207371163	-0.137099559230627	0.883013365265866	1184.27921876088	0.248061563888957	0.12212068160519	0	0.23395	0	0.43956	0.07853	0.02295	no	no	no	yes
ABCA1;HiC_scaffold_1	ABCA1	HiC_scaffold_1	1.28358208955224	0.448924779751292	0.349743723759727	0.000186403134754089	positive	negative	yes	2491.70665631403	1.14919049635893	5.25046556061237e-08	2354.43471324301	0.275360457225789	0.846862722508533	1844.80323324932	-0.412143229517191	0.29234207937744	2719.73898845722	0.735430993954915	0.00267444277835665	1e-04	0	0.00083	0	0	0.22276	no	yes	no	yes
ABCA1;HiC_scaffold_44	ABCA1	HiC_scaffold_44	0.704225352112676	0.448924779751292	0.637473187246835	2.0776699518172e-08	negative	negative	yes	2491.70665631403	1.14919049635893	5.25046556061237e-08	2354.43471324301	0.275360457225789	0.846862722508533	1844.80323324932	-0.412143229517191	0.29234207937744	2719.73898845722	0.735430993954915	0.00267444277835665	1e-04	0	0.00083	0	0	0.22276	no	yes	no	yes
ABCA12;HiC_scaffold_52	ABCA12	HiC_scaffold_52	0.636363636363636	0.593062949855099	0.931956064058012	1	negative	negative	no	111.331356508968	0.784256352125972	0.0132603547886768	100.89814638959	0.493090492519667	0.624851095364974	82.0950629990002	0.0504231756458245	0.997714272678529	109.036608737826	0.831357516108356	0.00621641581678211	0.02376	0.00428	0.54999	0.05431	0.11583	0.77401	no	no	no	yes
Abca5;HiC_scaffold_8	Abca5	HiC_scaffold_8	4.45454545454545	0.74376797698924	0.166968321364932	0.00177394991808012	positive	negative	yes	116.240367742449	0.209957592235755	0.401065114760963	107.658853862029	0.379408786082417	0.572282761795005	100.90332382709	0.269542531979903	0.875805653283623	106.017811735462	0.477498760186152	0.159569683787137	0.00398	0.00013	0.16854	NA	NA	NA	no	no	NA	yes
ABCC4;HiC_scaffold_56	ABCC4	HiC_scaffold_56	1.21333333333333	0.944889939367912	0.778755444533994	0.462010591330612	positive	negative	no	137.385710892334	0.296240984521563	0.376479115814761	126.713687605009	0.384725237014673	0.640963020320004	116.264084557239	0.224890284847141	0.901921311725981	126.647430623136	0.521694007438969	0.140457063020665	0.15647	0.19251	0.49149	0.88097	0.00015	0.16793	no	no	no	yes
abcd1;HiC_scaffold_11679	abcd1	HiC_scaffold_11679	1.31707317073171	0.639351550777262	0.485433584849402	0.0636547126457808	positive	negative	no	319.873562484314	0.614632505021721	0.000842803996012501	302.287612206491	0.274051540780371	0.730678601992547	264.351230848195	-0.0691597498988459	0.983713339640617	322.490962212933	0.545848294637914	0.0194097413124113	0.6339	0.83342	0.29718	0	0.03882	0.08074	no	no	no	yes
Abcd4;HiC_scaffold_7	Abcd4	HiC_scaffold_7	1.43617021276596	0.642619407816639	0.447453513590845	0.00185871968279106	positive	negative	yes	264.548304387031	0.310237117696447	0.728880618924077	230.444843420972	0.724684889968591	0.714994450320973	202.565573417047	0.558780311866154	0.915053551037559	224.049518532925	0.866605360691044	0.280567697561325	0.12497	0.10305	0.25232	0	0	0	no	no	yes	yes
Abce1;HiC_scaffold_41	Abce1	HiC_scaffold_41	0.559628543499511	0.953782759832597	1.70431399704585	2.26693232334542e-14	negative	negative	yes	2242.34815058998	0.24976139951558	0.150816755404211	2229.76261341935	0.0377934628456588	0.981559526774663	2163.77856715469	-0.0951546100776569	0.937187528145623	2288.22754239065	0.154116633894607	0.514781388575773	0	0	0	0	0	0	yes	yes	yes	yes
ABCF1;HiC_scaffold_37	ABCF1	HiC_scaffold_37	0.269870609981516	1.00039703827872	3.70695066923826	9.70291527062314e-18	negative	positive	yes	1489.98864390066	0.359358992366682	0.0921933648179875	1466.2452703445	0.0828581667886557	0.95407615028854	1385.70891874571	-0.11155527236029	0.948581128738073	1525.40603578475	0.247667004988369	0.468155717421728	0	0	0.0087	0.0503	0.05053	0.2414	no	yes	no	yes
Abcf3;HiC_scaffold_21	Abcf3	HiC_scaffold_21	2.73333333333333	0.954325308590761	0.349143405581986	0.00050223179145268	positive	negative	yes	551.420063100336	0.196615036037593	0.271740182395511	525.592533011952	0.227999921677125	0.717910477049041	502.361315361577	0.123210473879818	0.956943947937891	524.024202913663	0.321375217139152	0.299326000079275	0.00807	0.09571	0	0	0	0	no	no	yes	yes
ABHD10;HiC_scaffold_11	ABHD10	HiC_scaffold_11	1.09417040358744	1.06465341533806	0.973023408280273	0.890341498250392	positive	positive	no	323.351310756387	-0.0870904183884532	0.571837119784515	324.421033669549	-0.000385198086652373	0.999529602532453	335.447935918783	0.0388400801860517	0.997714272678529	315.783595800344	-0.0484382540416345	0.876923944640467	0.19019	0.3756	0.33796	NA	NA	NA	no	no	NA	yes
abhd11;HiC_scaffold_29	abhd11	HiC_scaffold_29	1.04545454545455	1.11182761188815	1.06348728093649	1	positive	positive	no	36.766043228219	-0.273589299902732	0.458084328847854	36.7681309239666	-0.0147039707355063	0.995059952305389	39.2429916529941	0.115821334670412	0.985740949830475	34.4950507417148	-0.164127072384373	0.738588452481164	0.46255	0.08458	0.10263	NA	NA	NA	no	no	NA	yes
abhd14a;HiC_scaffold_34	abhd14a	HiC_scaffold_34	1.36170212765957	1.46236784689501	1.07392638756352	0.839307585283717	positive	positive	no	33.8051637275445	-0.5131809982331	0.131987733121757	32.6569776791469	0.161993181891717	0.925307834180965	35.7387953974263	0.390003420875971	0.732632206749724	28.611309743227	-0.123587679926941	0.843859190999712	0.53458	0.89563	0.5329	NA	NA	NA	no	no	NA	yes
abhd2a;HiC_scaffold_5	abhd2a	HiC_scaffold_5	2.02380952380952	1.03641225881606	0.512109586709113	0.00789374542781023	positive	positive	yes	191.16749540456	0.311906894357209	0.135340858800823	192.183580601484	-0.000315174110175282	0.999688217696716	185.448530628242	-0.171366318790332	0.980505325488398	200.28460799737	0.144991537854014	0.848539505819935	0.05001	1e-05	0.40847	0.51356	0.01538	0.84558	no	no	no	yes
Abi1;HiC_scaffold_8	Abi1	HiC_scaffold_8	0.467741935483871	1.28844081049113	2.75459759484311	0.0193907829993788	negative	positive	yes	90.3487349607207	-0.202786158888337	0.550138095450808	94.203043476166	-0.151813220795669	0.886379546654847	101.08495718073	-0.0576546369410052	0.997714272678529	91.6479763541284	-0.256033748234173	0.411370267905357	0.00041	0.22501	0.01311	0.49907	0.05143	0.74105	no	no	no	yes
ABL2;HiC_scaffold_16	ABL2	HiC_scaffold_16	0.833333333333333	0.91208962509105	1.09450755010926	0.723746014902693	negative	negative	no	266.880769070498	-0.00786278324952138	0.97944472763435	262.113375435617	0.0998782850077077	0.925769257210402	264.689155134433	0.101461970743895	0.980505325488398	255.621447317042	0.0920159392477736	0.820714956260673	0.25521	0.0114	0.01478	NA	NA	NA	no	no	NA	yes
Abr;HiC_scaffold_14	Abr	HiC_scaffold_14	1	1.23528034243043	1.23528034243043	0.33739957147527	negative	positive	no	309.238892071385	-0.205901697773215	0.371969723104635	318.032546869707	-0.106981827252299	0.894409784002833	339.271830762924	-0.0114365078517662	0.997714272678529	307.176223952575	-0.217695093005692	0.199759111939126	0.3862	0.62882	0.77208	NA	NA	NA	no	no	NA	yes
Abtb1;HiC_scaffold_18	Abtb1	HiC_scaffold_18	0.709677419354839	0.853212011352934	1.20225328872459	0.804879786877543	negative	negative	no	152.010427202141	0.151187113123238	0.435506754646294	156.895177135901	-0.132317715718645	0.82925737258356	158.252049951662	-0.21153571276766	0.767988188333041	160.914094838403	-0.0604951456055964	0.873433154696269	0.33242	0.33118	1	0.00366	0.03618	0.001	no	no	yes	yes
Abtb2;HiC_scaffold_19	Abtb2	HiC_scaffold_19	1.13812154696133	0.942279003427079	0.827924755438356	0.348829913673223	positive	negative	no	158.150757823538	0.0152401707875278	0.942828849467877	156.465463215425	0.0613164824126198	0.946859673208401	157.891335316494	0.0518268901338866	0.997714272678529	153.886905758281	0.0650451157758425	0.848714669304207	0.0284	0.28382	0.45649	0	3e-05	0.16943	no	no	no	yes
