geneIndex	Geneid	seqnames	H	P	P_H_ratio	fishers_exact_p	H_sign	P_sign	sig_trans	baseMean_mp	LFC_mp	padj_mp	baseMean_mph	LFC_mph	padj_mph	baseMean_mh	LFC_mh	padj_mh	baseMean_ph	LFC_ph	padj_ph	pASE_CWE2	pASE_CWE3	pASE_CWE4	pASE_OZE2	pASE_OZE4	pASE_OZE5	ase_in_all_hyb	ase_in_crp_hyb	ase_in_osp_hyb	ase_in_any_hyb
A2m;HiC_scaffold_34	A2m	HiC_scaffold_34	0.534548662158189	1.37896098946025	2.57967344617949	2.30470354323808e-73	negative	positive	yes	5318.18407551614	-0.159625947778874	0.706733707089351	5509.13967634075	-0.134343698437439	0.934740692688554	5856.50838322414	-0.0596020796947966	0.997714272678529	5379.00888651334	-0.220456491885142	0.669950818276995	0	0	0	0	0	0	yes	yes	yes	yes
AAAS;HiC_scaffold_18	AAAS	HiC_scaffold_18	2.60526315789474	1.36851738133143	0.525289499904992	6.73885365572786e-06	positive	positive	yes	593.451092199812	0.118888941189444	0.608812750718619	609.171930334409	-0.103428262250515	0.913372859652688	615.219642226273	-0.168543316079764	0.832458215401412	620.693295359234	-0.0475817601879239	0.912174826261563	0.00521	0.34706	0.47571	0.62112	0	0	no	no	no	yes
aad-a;HiC_scaffold_40	aad-a	HiC_scaffold_40	0.845513963161022	0.848374020751316	1.00338262608887	0.966854504878925	negative	negative	no	659.364600988364	-0.0157538881259227	0.960930205916715	685.258556112228	-0.15124557836534	0.894409784002833	712.239166888851	-0.145184724699947	0.974674669499687	686.928145274415	-0.163961451109882	0.702635758006934	0	0	0.62105	0	0.07266	0.44935	no	no	no	yes
AADAC;HiC_scaffold_21	AADAC	HiC_scaffold_21	0.966666666666667	0.64374008288072	0.665938016773158	0.585227256339788	negative	negative	no	25.6596921998317	-0.248202529126378	0.618241459227928	29.8141901617589	-0.517008886866865	0.706116668569997	33.6606665724253	-0.398883513783257	0.892255711492105	30.2896056638774	-0.658556484250062	0.312804268549233	NA	NA	NA	0.22259	0.45237	0.5815	no	NA	no	yes
AADAT;HiC_scaffold_24	AADAT	HiC_scaffold_24	1.66037735849057	2.04612734998095	1.23232669942035	0.511189938122373	positive	positive	no	170.51477318726	1.01788284988594	5.01895396860035e-20	172.159516243952	-0.032472915663215	0.993427873805141	146.512331708023	-0.639146744843393	0.000328543432666707	199.215102740179	0.377179244297412	0.0220055848675972	0.00085	0	1e-05	0.02107	0.03621	0.87531	no	yes	no	yes
AAMP;HiC_scaffold_56	AAMP	HiC_scaffold_56	1.47530864197531	1.18191270597319	0.801129114509026	0.067857445370932	positive	positive	no	536.981638425464	0.144379693802672	0.335969654682156	532.709518350886	0.0411215663708853	0.96832384876183	525.786919478272	-0.0345015460549639	0.997714272678529	536.67729230186	0.108132887816541	0.616644225664755	NA	NA	NA	0.009	8e-05	0	NA	NA	yes	yes
aarsd1;HiC_scaffold_8	aarsd1	HiC_scaffold_8	0.562893081761006	0.703101247013929	1.24908489692977	0.333977948382809	negative	negative	no	97.5024973007776	-0.264007098382244	0.266804674580439	96.0609856102011	0.10866417972469	0.92773693382748	101.760852197496	0.233392566172867	0.841178960462612	89.4000168467201	-0.0379136847392776	0.942179256276529	NA	NA	NA	0.00018	0.00015	0.27305	no	NA	no	yes
aasdh;HiC_scaffold_16	aasdh	HiC_scaffold_16	1.17270194986072	1.04088789047478	0.88759798736448	0.524001591639594	positive	positive	no	188.780527797293	0.0164295649367295	0.940447122273877	184.86479857468	0.106755973033968	0.822227228942024	185.500853962704	0.0966198987424028	0.947206776487288	180.878672881348	0.11134488262416	0.633589485925579	NA	NA	NA	0.29431	0.00736	0.07336	no	NA	no	yes
aasdhppt;HiC_scaffold_21	aasdhppt	HiC_scaffold_21	1.35245901639344	0.683131400867551	0.505103217611159	0.00707128861997992	positive	negative	yes	112.363480562159	-0.179710843007084	0.460362343669377	107.922519343513	0.184107468236201	0.791576110847534	111.120714010662	0.268486395353879	0.741646187463831	100.703583491286	0.0879998578016986	0.828602464541338	0.72883	0.02391	0.46369	0.02789	0.00073	9e-05	no	no	yes	yes
ABAT;HiC_scaffold_27	ABAT	HiC_scaffold_27	0.975249881009043	1.21112556420746	1.24186179131277	0.00136291400936373	negative	positive	yes	1147.23319218591	0.386018466037531	0.0129054849878794	1132.06572889096	0.0714470237184818	0.945945565459389	1066.05207371163	-0.137099559230627	0.883013365265866	1184.27921876088	0.248061563888957	0.12212068160519	0	0.23395	0	0.43956	0.07853	0.02295	no	no	no	yes
ABCA1;HiC_scaffold_44	ABCA1	HiC_scaffold_44	1.2046493902439	2.20481020263932	1.8302505446775	9.84543451478069e-28	positive	positive	yes	2491.70665631403	1.14919049635893	5.25046556061237e-08	2354.43471324301	0.275360457225789	0.846862722508533	1844.80323324932	-0.412143229517191	0.29234207937744	2719.73898845722	0.735430993954915	0.00267444277835665	1e-04	0	0.00083	0	0	0.22276	no	yes	no	yes
ABCA1;HiC_scaffold_1	ABCA1	HiC_scaffold_1	1.23188405797101	2.20481020263932	1.78978710567192	0.0471701970830057	positive	positive	yes	2491.70665631403	1.14919049635893	5.25046556061237e-08	2354.43471324301	0.275360457225789	0.846862722508533	1844.80323324932	-0.412143229517191	0.29234207937744	2719.73898845722	0.735430993954915	0.00267444277835665	1e-04	0	0.00083	0	0	0.22276	no	yes	no	yes
ABCA12;HiC_scaffold_52	ABCA12	HiC_scaffold_52	1.62162162162162	1.76746647145107	1.08993765739482	1	positive	positive	no	111.331356508968	0.784256352125972	0.0132603547886768	100.89814638959	0.493090492519667	0.624851095364974	82.0950629990002	0.0504231756458245	0.997714272678529	109.036608737826	0.831357516108356	0.00621641581678211	0.02376	0.00428	0.54999	0.05431	0.11583	0.77401	no	no	no	yes
